freq	S11	S22	Stability	Gain	Noise
1.75	-1.46991133825907670E0	-3.58081758791274970E0	7.36344618155028210E-1	1.29103227873444840E1	1.04610043266299770E0
1.76	-1.50858891284455420E0	-3.59331945060946010E0	7.50610875647413070E-1	1.29353658154736210E1	1.04184784469502080E0
1.77	-1.54900104985619840E0	-3.60919761588543110E0	7.64850367597202660E-1	1.29605630110732810E1	1.03768899021898850E0
1.78	-1.59116709624984700E0	-3.62845877891989850E0	7.79033398808758900E-1	1.29861431371397920E1	1.03355418645344370E0
1.79	-1.63510019731768290E0	-3.65104860890073190E0	7.93153270882328880E-1	1.30119856250291100E1	1.02947048426017100E0
1.8	-1.68084069554410110E0	-3.67700478335049970E0	8.07184733342981710E-1	1.30383184152940790E1	1.02536574300268150E0
1.81	-1.72841705932536980E0	-3.70628951588014790E0	8.21125614126276560E-1	1.30650228771522900E1	1.02126671460051790E0
1.82	-1.77788702338613770E0	-3.73895841924113540E0	8.34957227436353660E-1	1.30922740591280530E1	1.01711507931494240E0
1.83	-1.82929691131524620E0	-3.77499672459457970E0	8.48680210568642050E-1	1.31199727406945830E1	1.01293398525296880E0
1.84	-1.88271736378669850E0	-3.81447354495737920E0	8.62280546039786170E-1	1.31482452093214760E1	1.00867632027447310E0
1.85	-1.93821099774556420E0	-3.85739910648302690E0	8.75759521548556560E-1	1.31770170477543780E1	1.00435802245186620E0
1.86	-1.99586056648683160E0	-3.90385285875376460E0	8.89107673391576010E-1	1.32063651513630690E1	9.99944920481854990E-1
1.87	-2.05574688710939400E0	-3.95387354368072330E0	9.02326551645768940E-1	1.32362379682877050E1	9.95446504594970530E-1
1.88	-2.11796316938268440E0	-4.00754743479716420E0	9.15410644862785720E-1	1.32666657062781450E1	9.90841127297301050E-1
1.89	-2.18260677684706960E0	-4.06494439702705180E0	9.28359934179696110E-1	1.32976232160501030E1	9.86128065185306820E-1
1.9	-2.24978150677212250E0	-4.12615421221802590E0	9.41173038834127950E-1	1.33290945913343690E1	9.81299648589787310E-1
1.91	-2.31960414916130380E0	-4.19128329867197810E0	9.53848354013512890E-1	1.33610789768909520E1	9.76345647391308270E-1
1.92	-2.39219008426537050E0	-4.26042155067856320E0	9.66388996706565000E-1	1.33935146901628240E1	9.71273991916329930E-1
1.93	-2.46767218971392000E0	-4.33371563849145680E0	9.78789514772440760E-1	1.34264298599973600E1	9.66059415949418470E-1
1.94	-2.54617895529082270E0	-4.41125133707044540E0	9.91057943370269710E-1	1.34597181659276080E1	9.60727178627453070E-1
1.95	-2.62786073395851630E0	-4.49322273208677370E0	1.00318474207560060E0	1.34934341279589300E1	9.55236549412583890E-1
1.96	-2.71286440004548620E0	-4.57970764534132350E0	1.01518431223502100E0	1.35274250762614810E1	9.49634426599338610E-1
1.97	-2.80135250854216490E0	-4.67095400649355860E0	1.02704059189579390E0	1.35617762387408350E1	9.43858163953127690E-1
1.98	-2.89349889421321290E0	-4.76702734360427540E0	1.03877624738906000E0	1.35962872690931300E1	9.37981803823795350E-1
1.99	-2.98947013777482380E0	-4.86823738583598060E0	1.05036611479204270E0	1.36310767118087410E1	9.31913793566089590E-1
2	-3.08947561646785780E0	-4.97462832629201750E0	1.06184287347313690E0	1.36658946470381300E1	9.25761012513848060E-1
2.01	-3.19368290495919190E0	-5.08656802503653440E0	1.07317379338553990E0	1.37008763953601110E1	9.19408686746460190E-1
2.02	-3.30234727041791580E0	-5.20412653848586700E0	1.08439538189546150E0	1.37357726497585730E1	9.12973139247158190E-1
2.03	-3.41563382333345760E0	-5.32768420621371600E0	1.09547429601463910E0	1.37706848807290450E1	9.06342090217858680E-1
2.04	-3.53384247805601600E0	-5.45735598038670760E0	1.10644590731157440E0	1.38053895411625580E1	8.99626106241295180E-1
2.05	-3.65714152323656410E0	-5.59353426036636400E0	1.11727833514002680E0	1.38399497026490370E1	8.92720860606557490E-1
2.06	-3.78588102687303160E0	-5.73638779394929270E0	1.12800624989565490E0	1.38741615212714780E1	8.85732203422951870E-1
2.07	-3.92023570826037960E0	-5.88631831316830740E0	1.13859955758247830E0	1.39080538315416600E1	8.78564853908749120E-1
2.08	-4.06060325015143060E0	-6.04355931657197410E0	1.14908985030863640E0	1.39414479601425740E1	8.71313358606343160E-1
